age,dorsal,ventral,fluor
5 dpf,1,3,mpeg1.1+
5 dpf,2,1,mpeg1.1+
5 dpf,0,7,mpeg1.1+
5 dpf,3,5,mpeg1.1+
5 dpf,2,6,mpeg1.1+
5 dpf,3,3,mpeg1.1+
5 dpf,2,3,mpeg1.1+
5 dpf,1,4,mpeg1.1+
5 dpf,3,3,mpeg1.1+
5 dpf,2,6,mpeg1.1+
5 dpf,1,5,mpeg1.1+
5 dpf,0,4,mpeg1.1+
5 dpf,2,4,mpeg1.1+
5 dpf,2,5,mpeg1.1+
5 dpf,2,9,mpeg1.1+
5 dpf,3,8,mpeg1.1+
5 dpf,0,4,mpeg1.1+
4 dpf,0,4,mpeg1.1+
4 dpf,2,5,mpeg1.1+
4 dpf,1,4,mpeg1.1+
4 dpf,2,4,mpeg1.1+
4 dpf,1,7,mpeg1.1+
4 dpf,2,3,mpeg1.1+
4 dpf,1,4,mpeg1.1+
4 dpf,1,3,mpeg1.1+
4 dpf,3,7,mpeg1.1+
4 dpf,2,4,mpeg1.1+
8 dpf,2,4,mpeg1.1+
8 dpf,3,5,mpeg1.1+
8 dpf,6,5,mpeg1.1+
8 dpf,5,3,mpeg1.1+
8 dpf,2,4,mpeg1.1+
8 dpf,3,2,mpeg1.1+
8 dpf,3,5,mpeg1.1+
8 dpf,3,2,mpeg1.1+
8 dpf,3,4,mpeg1.1+
8 dpf,5,1,mpeg1.1+
8 dpf,4,1,mpeg1.1+
8 dpf,2,8,mpeg1.1+
8 dpf,5,7,mpeg1.1+
4 dpf,8,34,mbpa+
4 dpf,8,29,mbpa+
4 dpf,11,32,mbpa+
4 dpf,13,27,mbpa+
4 dpf,10,29,mbpa+
4 dpf,14,32,mbpa+
4 dpf,11,27,mbpa+
4 dpf,15,36,mbpa+
4 dpf,12,29,mbpa+
4 dpf,12,38,mbpa+
4 dpf,12,37,mbpa+
4 dpf,14,33,mbpa+
4 dpf,12,34,mbpa+
4 dpf,6,27,mbpa+
5 dpf,11.8422,27.864,mbpa+
5 dpf,18.1116,33.4368,mbpa+
5 dpf,11.8422,30.6504,mbpa+
5 dpf,9.0558,23.6844,mbpa+
5 dpf,16.0218,30.6504,mbpa+
5 dpf,9.0558,21.5946,mbpa+
5 dpf,12.5388,27.864,mbpa+
5 dpf,18.1116,32.7402,mbpa+
5 dpf,13.2354,27.864,mbpa+
5 dpf,4.8762,27.864,mbpa+
5 dpf,14.6286,24.381,mbpa+
8 dpf,13.932,26.4708,mbpa+
8 dpf,20.898,29.2572,mbpa+
8 dpf,19.5048,34.83,mbpa+
8 dpf,16.7184,30.6504,mbpa+
8 dpf,18.1116,29.2572,mbpa+
8 dpf,21.5946,29.9538,mbpa+
8 dpf,11.8422,25.7742,mbpa+
8 dpf,20.898,32.0436,mbpa+
8 dpf,20.2014,29.9538,mbpa+
8 dpf,20.898,29.2572,mbpa+
