anesthetic,cell_id,time,end,init_withdrawn,initial,new,new_withdrawn,end_sheath_contacting,end_soma_contacting
pb,1,62.48416533,6,4,7,3,0,5,0
pb,2,40.168392,2,1,2,1,0,2,0
pb,3,62.48416533,6,4,5,5,0,5,0
pb,4,58.02101067,4,0,2,3,1,2,0
pb,5,62.48416533,6,2,5,4,1,5,0
pb,6,62.48416533,6,1,3,5,1,6,0
pb,7,75.87362933,0,0,0,0,0,NA,NA
pb,8,59.933728,1,3,4,0,0,NA,NA
pb,9,59.933728,2,4,4,13,11,2,0
pb,10,66.02391383,6,0,5,2,1,5,0
pb,11,66.02391383,4,2,2,9,5,3,0
pb,12,66.02391383,3,1,4,0,0,3,0
pb,13,66.02391383,3,3,5,2,1,2,1
pb,14,66.02391383,3,1,3,1,0,NA,NA
