anesthetic,cell_id,type_processes,n_processes,time
pb,1,initial,7,62.48416533
pb,1,init_withdrawn,4,62.48416533
pb,1,new,3,62.48416533
pb,1,end,6,62.48416533
pb,1,new_withdrawn,0,62.48416533
pb,2,initial,2,40.168392
pb,2,init_withdrawn,1,40.168392
pb,2,new,1,40.168392
pb,2,end,2,40.168392
pb,2,new_withdrawn,0,40.168392
pb,3,initial,5,62.48416533
pb,3,init_withdrawn,4,62.48416533
pb,3,new,5,62.48416533
pb,3,end,6,62.48416533
pb,3,new_withdrawn,0,62.48416533
pb,4,initial,2,58.02101067
pb,4,init_withdrawn,0,58.02101067
pb,4,new,3,58.02101067
pb,4,end,4,58.02101067
pb,4,new_withdrawn,1,58.02101067
pb,5,initial,5,62.48416533
pb,5,init_withdrawn,2,62.48416533
pb,5,new,4,62.48416533
pb,5,end,6,62.48416533
pb,5,new_withdrawn,1,62.48416533
pb,6,initial,3,62.48416533
pb,6,init_withdrawn,1,62.48416533
pb,6,new,5,62.48416533
pb,6,end,6,62.48416533
pb,6,new_withdrawn,1,62.48416533
pb,7,initial,0,75.87362933
pb,7,init_withdrawn,0,75.87362933
pb,7,new,0,75.87362933
pb,7,end,0,75.87362933
pb,7,new_withdrawn,0,75.87362933
pb,8,initial,4,59.933728
pb,8,init_withdrawn,3,59.933728
pb,8,new,0,59.933728
pb,8,end,1,59.933728
pb,8,new_withdrawn,0,59.933728
pb,9,initial,4,59.933728
pb,9,init_withdrawn,4,59.933728
pb,9,new,13,59.933728
pb,9,end,2,59.933728
pb,9,new_withdrawn,11,59.933728
pb,10,initial,5,66.02391383
pb,10,init_withdrawn,0,66.02391383
pb,10,new,2,66.02391383
pb,10,end,6,66.02391383
pb,10,new_withdrawn,1,66.02391383
pb,11,initial,2,66.02391383
pb,11,init_withdrawn,2,66.02391383
pb,11,new,9,66.02391383
pb,11,end,4,66.02391383
pb,11,new_withdrawn,5,66.02391383
pb,12,initial,4,66.02391383
pb,12,init_withdrawn,1,66.02391383
pb,12,new,0,66.02391383
pb,12,end,3,66.02391383
pb,12,new_withdrawn,0,66.02391383
pb,13,initial,5,66.02391383
pb,13,init_withdrawn,3,66.02391383
pb,13,new,2,66.02391383
pb,13,end,3,66.02391383
pb,13,new_withdrawn,1,66.02391383
pb,14,initial,3,66.02391383
pb,14,init_withdrawn,1,66.02391383
pb,14,new,1,66.02391383
pb,14,end,3,66.02391383
pb,14,new_withdrawn,0,66.02391383
tric,1,initial,7,89.512305
tric,1,init_withdrawn,6,89.512305
tric,1,new,4,89.512305
tric,1,end,3,89.512305
tric,1,new_withdrawn,2,89.512305
tric,2,initial,3,89.512305
tric,2,init_withdrawn,2,89.512305
tric,2,new,2,89.512305
tric,2,end,2,89.512305
tric,2,new_withdrawn,1,89.512305
tric,3,initial,4,89.512305
tric,3,init_withdrawn,2,89.512305
tric,3,new,1,89.512305
tric,3,end,3,89.512305
tric,3,new_withdrawn,0,89.512305
tric,4,initial,0,65.642357
tric,4,init_withdrawn,0,65.642357
tric,4,new,2,65.642357
tric,4,end,1,65.642357
tric,4,new_withdrawn,1,65.642357
tric,5,initial,5,89.512305
tric,5,init_withdrawn,3,89.512305
tric,5,new,4,89.512305
tric,5,end,3,89.512305
tric,5,new_withdrawn,3,89.512305
tric,6,initial,3,89.512305
tric,6,init_withdrawn,1,89.512305
tric,6,new,2,89.512305
tric,6,end,4,89.512305
tric,6,new_withdrawn,0,89.512305
tric,7,initial,6,84.50383
tric,7,init_withdrawn,4,84.50383
tric,7,new,3,84.50383
tric,7,end,2,84.50383
tric,7,new_withdrawn,3,84.50383
tric,8,initial,11,61.96947533
tric,8,init_withdrawn,0,61.96947533
tric,8,new,2,61.96947533
tric,8,end,11,61.96947533
tric,8,new_withdrawn,2,61.96947533
tric,9,initial,3,135.206128
tric,9,init_withdrawn,2,135.206128
tric,9,new,9,135.206128
tric,9,end,3,135.206128
tric,9,new_withdrawn,7,135.206128
tric,10,initial,5,135.206128
tric,10,init_withdrawn,2,135.206128
tric,10,new,3,135.206128
tric,10,end,5,135.206128
tric,10,new_withdrawn,1,135.206128
