set_id,elim_id,length,elim_type
1,1,4.4,engulfed
1,2,4.3,engulfed
1,3,2.75,engulfed
1,4,3.16,retracted
1,5,1.38,retracted
2,1,6.03,engulfed
2,2,9.27,engulfed
2,3,6.74,engulfed
2,4,7.11,engulfed
2,5,2.67,engulfed
3,1,10.77,engulfed
3,2,1.72,engulfed
3,3,2.43,engulfed
3,4,3.21,engulfed
3,5,1.55,engulfed
3,6,1.74,retracted
3,7,1.63,retracted
3,8,1.72,retracted
3,9,2.02,retracted
4,1,7.18,engulfed
4,2,5.4,engulfed
4,3,2.81,retracted
5,1,17.79,engulfed
5,2,4.61,engulfed
5,3,5.27,engulfed
5,4,3.9,engulfed
5,5,3.44,engulfed
5,6,3,retracted
5,7,6.88,retracted
6,1,5.35,engulfed
6,2,3.61,engulfed
6,3,6.72,engulfed
6,4,3.21,engulfed
6,5,5.73,engulfed
6,6,6.41,retracted
7,1,6.72,engulfed
8,1,5.54,engulfed
8,2,3.34,engulfed
8,3,4.59,engulfed
8,4,8.51,engulfed
8,5,3.06,engulfed
8,6,6.42,engulfed
8,7,6.94,retracted
8,8,5.58,retracted
9,1,8.48,engulfed
9,2,4.81,engulfed
9,3,5.24,engulfed
9,4,3.9,retracted
9,5,2.3,retracted
10,1,4.59,engulfed
10,2,2.68,engulfed
10,3,6.23,engulfed
10,4,3.12,engulfed
11,1,4.13,engulfed
12,1,7.56,engulfed
12,2,2.98,engulfed
12,3,2.48,engulfed
12,4,3.06,engulfed
12,5,1.39,engulfed
13,1,4.81,engulfed
13,2,2.29,engulfed
13,3,3.32,engulfed
13,4,3.78,retracted
13,5,2.41,retracted
14,1,3.45,engulfed
14,2,3.21,engulfed
14,3,4.45,retracted
15,1,4.63,engulfed
15,2,7.82,engulfed
15,3,5.8,engulfed
15,4,2.83,engulfed
15,5,3.54,engulfed
16,1,5.58,retracted
17,1,7.58,engulfed
17,2,2.98,engulfed
17,3,8.96,engulfed
17,4,4.86,engulfed
17,5,8.33,engulfed
17,6,5.75,engulfed
17,7,2.52,engulfed
18,1,2.98,engulfed
18,2,3.21,engulfed
18,3,3.7,retracted
19,1,5.73,engulfed
19,2,2.79,engulfed
19,3,3.9,engulfed
19,4,4.45,retracted
19,5,4.18,retracted
20,1,6.17,engulfed
20,2,4.35,engulfed
20,3,2.98,engulfed
20,4,3.67,engulfed
20,5,5.28,engulfed
20,6,2.29,engulfed
20,7,4.35,retracted
20,8,3.06,retracted
21,1,10.83,engulfed
21,2,3.78,engulfed
21,3,8.78,engulfed
21,4,11.98,engulfed
21,5,6.23,retracted
21,6,4.57,retracted
21,7,10.66,engulfed
21,8,7.41,engulfed
21,9,7.32,retracted
21,10,4.89,engulfed
21,11,5.13,retracted
21,12,5.34,engulfed
21,13,5.85,retracted
21,14,3.31,retracted
21,15,3.63,retracted
22,1,2.92,engulfed
22,2,3.34,engulfed
22,3,12.3,engulfed
22,4,14.84,engulfed
22,5,20.57,engulfed
22,6,3.8,engulfed
23,1,10.51,engulfed
23,2,9.47,engulfed
23,3,6.03,engulfed
23,4,5.98,engulfed
23,5,4.67,engulfed
23,6,6.67,engulfed
24,1,3.8794,retracted
25,1,6.19,engulfed
26,0,NA,NA
27,1,6.3478,engulfed
28,1,3.655,retracted
29,1,8.5,engulfed
29,2,4.18,retracted
30,1,5.84,engulfed
30,2,5.52,engulfed
30,3,3.56,retracted
30,4,2.22,retracted
30,5,2.29,engulfed
30,6,2.08,retracted
