group,cell_id,sheath_id,sheath_length
Bafilomycin A1,1,1,36.288
Bafilomycin A1,1,2,84.707
Bafilomycin A1,1,3,41.815
Bafilomycin A1,1,4,36.683
Bafilomycin A1,1,5,27.561
Bafilomycin A1,1,6,44.716
Bafilomycin A1,1,7,18.786
Bafilomycin A1,1,8,34.545
Bafilomycin A1,1,9,35.182
Bafilomycin A1,1,10,58.943
Bafilomycin A1,2,1,31.457
Bafilomycin A1,2,2,36.61
Bafilomycin A1,2,3,19.289
Bafilomycin A1,2,4,34.871
Bafilomycin A1,2,5,52.745
Bafilomycin A1,2,6,31.134
Bafilomycin A1,2,7,32.293
Bafilomycin A1,2,8,75.793
Bafilomycin A1,2,9,37.662
Bafilomycin A1,3,1,25.801
Bafilomycin A1,3,2,57.46
Bafilomycin A1,3,3,44.306
Bafilomycin A1,3,4,23.893
Bafilomycin A1,3,5,53.397
Bafilomycin A1,3,6,33.793
Bafilomycin A1,3,7,29.165
Bafilomycin A1,4,1,30.742
Bafilomycin A1,4,2,22.855
Bafilomycin A1,4,3,18.236
Bafilomycin A1,4,4,55.782
Bafilomycin A1,4,5,14.272
Bafilomycin A1,4,6,27.857
Bafilomycin A1,4,7,16.287
Bafilomycin A1,4,8,21.23
Bafilomycin A1,4,9,43.944
Bafilomycin A1,5,1,37.353
Bafilomycin A1,5,2,15.551
Bafilomycin A1,5,3,18.409
Bafilomycin A1,5,4,44.544
Bafilomycin A1,5,5,65.612
Bafilomycin A1,5,6,33.781
Bafilomycin A1,5,7,79.21
Bafilomycin A1,5,8,64.72
Bafilomycin A1,5,9,22.642
Bafilomycin A1,6,1,76.341
Bafilomycin A1,6,2,30.589
Bafilomycin A1,6,3,40.903
Bafilomycin A1,6,4,67.223
Bafilomycin A1,6,5,43.724
Bafilomycin A1,6,6,37.054
Bafilomycin A1,6,7,39.173
Bafilomycin A1,6,8,57.244
Bafilomycin A1,6,9,29.904
Bafilomycin A1,7,1,97.397
Bafilomycin A1,7,2,34.65
Bafilomycin A1,7,3,24.429
Bafilomycin A1,7,4,51.437
Bafilomycin A1,7,5,30.181
Bafilomycin A1,7,6,45.573
Bafilomycin A1,7,7,40.707
Bafilomycin A1,7,8,28.317
Bafilomycin A1,7,9,10.925
Bafilomycin A1,7,10,9.132
Bafilomycin A1,8,1,26.052
Bafilomycin A1,8,2,35.945
Bafilomycin A1,8,3,21.947
Bafilomycin A1,8,4,36.194
Bafilomycin A1,8,5,27.076
Bafilomycin A1,8,6,43.736
Bafilomycin A1,8,7,26.879
Bafilomycin A1,8,8,36.103
Bafilomycin A1,8,9,67.952
Bafilomycin A1,8,10,19.245
Bafilomycin A1,8,11,28.379
DMSO,1,1,35.072
DMSO,1,2,78.015
DMSO,1,3,31.83
DMSO,1,4,27.048
DMSO,1,5,50.354
DMSO,1,6,18.34
DMSO,1,7,50.175
DMSO,1,8,21.261
DMSO,1,9,27.017
DMSO,1,10,34.078
DMSO,1,11,61.729
DMSO,2,1,45.033
DMSO,2,2,60.593
DMSO,2,3,53.475
DMSO,2,4,22.75
DMSO,2,5,65.454
DMSO,2,6,56.768
DMSO,2,7,50.275
DMSO,2,8,28.328
DMSO,3,1,36.459
DMSO,3,2,9.436
DMSO,3,3,26.57
DMSO,3,4,27.24
DMSO,3,5,68.147
DMSO,3,6,39.087
DMSO,3,7,29.285
DMSO,3,8,39.066
DMSO,3,9,15.353
DMSO,3,10,45.923
DMSO,3,11,61.786
DMSO,4,1,73.805
DMSO,4,2,20.978
DMSO,4,3,38.284
DMSO,4,4,37.551
DMSO,4,5,28.136
DMSO,4,6,35.703
DMSO,4,7,38.871
DMSO,4,8,36.561
DMSO,4,9,48.82
DMSO,4,10,13.343
DMSO,4,11,34.429
DMSO,5,1,61.034
DMSO,5,2,22.564
DMSO,5,3,38.507
DMSO,5,4,55.553
DMSO,5,5,33.662
DMSO,5,6,73.149
DMSO,6,1,33.485
DMSO,6,2,36.097
DMSO,6,3,66.388
DMSO,6,4,16.903
DMSO,6,5,45.349
DMSO,6,6,80.841
DMSO,6,7,83.636
DMSO,7,1,36.952
DMSO,7,2,32.178
DMSO,7,3,36.801
DMSO,7,4,23.273
DMSO,7,5,32.839
DMSO,7,6,51.087
DMSO,7,7,28.806
DMSO,7,8,32.713
DMSO,7,9,27.205
DMSO,7,10,45.309
DMSO,7,11,21.371
DMSO,7,12,59.267
DMSO,8,1,26.667
DMSO,8,2,38.441
DMSO,8,3,54.613
DMSO,8,4,30.14
DMSO,8,5,26.848
DMSO,8,6,25.226
DMSO,8,7,19.731
DMSO,8,8,45.207
DMSO,8,9,43.636
DMSO,8,10,39.093
DMSO,9,1,33.836
DMSO,9,2,48.599
DMSO,9,3,50.74
DMSO,9,4,30.387
DMSO,9,5,31.296
DMSO,9,6,27.792
DMSO,9,7,13.828
DMSO,10,1,27.429
DMSO,10,2,31.627
DMSO,10,3,32.893
DMSO,10,4,45.971
DMSO,10,5,39.621
DMSO,10,6,35.899
DMSO,10,7,24.056
DMSO,10,8,53.22
DMSO,10,9,76.824
DMSO,10,10,29.925
DMSO,11,1,42.502
DMSO,11,2,63.763
DMSO,11,3,50.041
DMSO,11,4,40.302
DMSO,11,5,30.587
DMSO,11,6,28.12
DMSO,11,7,35.28
DMSO,11,8,54.03
DMSO,11,9,42.64
DMSO,12,1,49.132
DMSO,12,2,39.943
DMSO,12,3,42.089
DMSO,12,4,43.088
DMSO,12,5,18.637
DMSO,12,6,58.891
DMSO,12,7,21.086
DMSO,12,8,46.123
DMSO,12,9,52.053
