fluor,n_neurons,n_cont_neurons,n_microglia
-2A-BoNT/B,3,0,4
-2A-BoNT/B,7,1,6
-2A-BoNT/B,27,3,6
-2A-BoNT/B,12,1,7
-2A-BoNT/B,22,0,4
-2A-BoNT/B,1,0,7
-2A-BoNT/B,19,5,7
-2A-BoNT/B,5,0,5
-2A-BoNT/B,16,1,4
-2A-BoNT/B,2,0,2
-2A-BoNT/B,15,3,7
-2A-BoNT/B,43,5,6
-2A-BoNT/B,14,3,5
-2A-BoNT/B,32,4,6
-2A-BoNT/B,46,5,7
-2A-BoNT/B,5,0,5
-2A-BoNT/B,1,0,3
-2A-BoNT/B,4,1,4
-2A-BoNT/B,57,7,7
-2A-BoNT/B,42,4,5
-2A-BoNT/B,7,3,8
-2A-BoNT/B,18,4,6
-2A-dnVamp2,51,6,5
-2A-dnVamp2,39,2,1
-2A-dnVamp2,18,3,5
-2A-dnVamp2,48,6,6
-2A-dnVamp2,8,0,3
-2A-dnVamp2,60,5,7
-2A-dnVamp2,47,4,4
-2A-dnVamp2,47,5,5
-2A-dnVamp2,15,0,4
-2A-dnVamp2,14,2,2
-2A-dnVamp2,12,0,3
-2A-dnVamp2,11,2,4
-2A-dnVamp2,57,7,6
-2A-dnVamp2,24,2,4
-2A-dnVamp2,36,3,7
mTagBFP-CAAX,10,4,5
mTagBFP-CAAX,12,3,5
mTagBFP-CAAX,8,2,3
mTagBFP-CAAX,16,4,4
mTagBFP-CAAX,26,7,6
mTagBFP-CAAX,3,2,8
mTagBFP-CAAX,8,2,5
mTagBFP-CAAX,25,6,7
mTagBFP-CAAX,4,2,8
mTagBFP-CAAX,30,10,2
mTagBFP-CAAX,9,2,7
mTagBFP-CAAX,15,5,5
