neuron_id,distance,transient,group
1,8.797,no,MNI-glutamate
2,13.75,no,MNI-glutamate
3,21.168,no,MNI-glutamate
4,34.658,no,MNI-glutamate
5,44.715,no,MNI-glutamate
6,50.437,no,MNI-glutamate
7,69.873,no,MNI-glutamate
8,102.319,no,MNI-glutamate
9,93.773,no,MNI-glutamate
10,78.178,no,MNI-glutamate
11,93.302,no,MNI-glutamate
12,88.984,no,MNI-glutamate
1,9.217,yes,MNI-glutamate
2,17.514,no,MNI-glutamate
3,52.831,no,MNI-glutamate
4,22.513,no,MNI-glutamate
5,68.295,no,MNI-glutamate
6,49.908,no,MNI-glutamate
7,104.331,no,MNI-glutamate
8,117.142,no,MNI-glutamate
9,124.565,no,MNI-glutamate
10,116.362,no,MNI-glutamate
1,12.454,yes,MNI-glutamate
2,15.82,yes,MNI-glutamate
3,32.366,yes,MNI-glutamate
4,21.873,yes,MNI-glutamate
5,70.363,yes,MNI-glutamate
6,95.115,yes,MNI-glutamate
7,116.297,yes,MNI-glutamate
8,33.769,yes,MNI-glutamate
1,21.531,no,MNI-glutamate
2,91.595,no,MNI-glutamate
3,55.815,no,MNI-glutamate
4,52.919,no,MNI-glutamate
1,24.911,yes,MNI-glutamate
2,13.239,yes,MNI-glutamate
3,6.564,yes,MNI-glutamate
4,18.681,yes,MNI-glutamate
5,13.8,yes,MNI-glutamate
6,27.031,no,MNI-glutamate
1,41.157,yes,MNI-glutamate
2,14.121,yes,MNI-glutamate
3,50.066,yes,MNI-glutamate
4,31.903,yes,MNI-glutamate
5,52.115,no,MNI-glutamate
6,34.911,no,MNI-glutamate
7,25.377,no,MNI-glutamate
1,31.616,yes,MNI-glutamate
2,119.614,yes,MNI-glutamate
3,28.113,no,MNI-glutamate
4,60.436,no,MNI-glutamate
5,94.756,no,MNI-glutamate
1,16.449,yes,MNI-glutamate
2,25.597,yes,MNI-glutamate
3,18.209,yes,MNI-glutamate
4,22.964,yes,MNI-glutamate
5,18.828,yes,MNI-glutamate
6,6.959,yes,MNI-glutamate
7,60.194,no,MNI-glutamate
8,37.704,no,MNI-glutamate
9,61.385,no,MNI-glutamate
10,58.51,no,MNI-glutamate
1,49.755,no,MNI-glutamate
2,31.968,no,MNI-glutamate
3,49.014,no,MNI-glutamate
4,58.629,no,MNI-glutamate
5,92.634,no,MNI-glutamate
6,77.64,no,MNI-glutamate
7,83.706,no,MNI-glutamate
8,46.798,no,MNI-glutamate
1,16.148,yes,DMSO
2,73.62,yes,DMSO
3,66.9,yes,DMSO
4,88.524,yes,DMSO
5,14.458,no,DMSO
6,7.069,no,DMSO
7,75.415,no,DMSO
8,91.744,no,DMSO
9,129.292,no,DMSO
10,129.402,no,DMSO
11,124.759,no,DMSO
12,139.757,no,DMSO
13,142.772,no,DMSO
14,133.797,no,DMSO
15,103.987,no,DMSO
16,110.374,no,DMSO
17,107.231,no,DMSO
18,95.587,no,DMSO
19,38.509,no,DMSO
20,16.611,no,DMSO
21,35.352,no,DMSO
22,46.976,no,DMSO
23,38.185,no,DMSO
24,13.598,no,DMSO
1,95.867,yes,DMSO
2,106.464,yes,DMSO
3,28.656,no,DMSO
4,34.346,no,DMSO
5,34.999,no,DMSO
6,28.256,no,DMSO
7,17.346,no,DMSO
8,54.401,no,DMSO
9,85.588,no,DMSO
10,56.533,no,DMSO
11,88.749,no,DMSO
12,60.196,no,DMSO
13,59.785,no,DMSO
14,81.319,no,DMSO
15,90.941,no,DMSO
16,119.602,no,DMSO
17,119.41,no,DMSO
18,112.932,no,DMSO
19,85.958,no,DMSO
20,98.492,no,DMSO
1,29.501,yes,DMSO
2,17.971,no,DMSO
3,25.445,no,DMSO
4,20.848,no,DMSO
5,23.266,no,DMSO
6,14.677,no,DMSO
7,23.775,no,DMSO
8,28.186,no,DMSO
9,28.427,no,DMSO
10,39.106,no,DMSO
11,79.194,no,DMSO
12,124.043,no,DMSO
13,151.751,no,DMSO
14,79.055,no,DMSO
15,45.845,no,DMSO
16,90.966,no,DMSO
17,29.547,no,DMSO
1,88.819,yes,DMSO
2,125.453,yes,DMSO
3,132.563,yes,DMSO
4,154.586,no,DMSO
5,162.711,no,DMSO
6,34.043,no,DMSO
7,54.146,no,DMSO
8,54.471,no,DMSO
9,66.376,no,DMSO
10,69.173,no,DMSO
11,151.509,no,DMSO
1,23.695,no,DMSO
2,27.702,no,DMSO
3,37.142,no,DMSO
4,51.493,no,DMSO
5,64.458,no,DMSO
6,16.375,no,DMSO
7,91.51,no,DMSO
8,30.551,no,DMSO
9,21.73,no,DMSO
10,49.845,no,DMSO
11,106.863,no,DMSO
12,115.598,no,DMSO
13,17.066,no,DMSO
