group,unc_start,opp_start,unc_new,opp_new,unc_lost,opp_lost
DMSO,4,4,0,2,0,0
DMSO,10,10,1,2,1,2
DMSO,3,4,2,4,3,5
DMSO,2,3,1,1,1,1
DMSO,5,4,1,2,1,3
DMSO,2,3,0,0,0,0
DMSO,4,6,2,3,1,0
DMSO,3,4,6,8,5,3
DMSO,2,2,3,3,1,2
DMSO,5,7,0,0,1,0
MNI-glutamate,2,2,3,1,3,0
MNI-glutamate,1,5,0,0,0,1
MNI-glutamate,2,2,3,1,0,1
MNI-glutamate,3,5,1,0,0,0
MNI-glutamate,1,2,1,0,0,1
MNI-glutamate,6,5,4,1,3,0
MNI-glutamate,4,3,8,6,3,6
MNI-glutamate,4,4,0,2,0,2
MNI-glutamate,4,4,2,1,1,2
MNI-glutamate,6,4,7,1,4,2
MNI-glutamate,2,2,5,4,2,4
